111666-0.05,-0.06,0.07,-0.35,-0.08,-0.89,-0.11,0.07,-0.10
-0.11,-0.13,0.14,-0.36,-0.08,-0.93,-0.10,0.06,-0.10
-0.16,-0.20,0.20,-0.35,-0.08,-0.93,-0.11,0.06,-0.10
-0.22,-0.27,0.28,-0.37,-0.08,-0.93,-0.11,0.08,-0.10
-0.28,-0.34,0.37,-0.37,-0.08,-0.93,-0.11,0.09,-0.11
-0.34,-0.41,0.46,-0.37,-0.08,-0.92,-0.11,0.09,-0.10
-0.40,-0.48,0.55,-0.37,-0.08,-0.92,-0.11,0.08,-0.10
-0.46,-0.55,0.63,-0.36,-0.09,-0.93,-0.10,0.08,-0.09
-0.51,-0.62,0.71,-0.36,-0.08,-0.93,-0.10,0.09,-0.09
-0.56,-0.68,0.80,-0.36,-0.08,-0.92,-0.10,0.10,-0.09
-0.62,-0.75,0.89,-0.36,-0.08,-0.92,-0.10,0.09,-0.09
-0.67,-0.82,0.97,-0.36,-0.08,-0.92,-0.11,0.08,-0.10
-0.73,-0.90,1.06,-0.36,-0.08,-0.92,-0.11,0.08,-0.10
-0.79,-0.97,1.14,-0.36,-0.08,-0.92,-0.10,0.08,-0.10
-0.84,-1.04,1.22,-0.36,-0.08,-0.92,-0.10,0.08,-0.10
-0.90,-1.11,1.31,-0.36,-0.08,-0.92,-0.11,0.08,-0.10
-0.96,-1.18,1.39,-0.36,-0.08,-0.92,-0.10,0.08,-0.09
-1.01,-1.25,1.47,-0.36,-0.08,-0.92,-0.10,0.08,-0.09
-1.07,-1.32,1.56,-0.36,-0.08,-0.92,-0.11,0.09,-0.10
-1.12,-1.39,1.65,-0.36,-0.08,-0.92,-0.11,0.09,-0.10
-1.18,-1.47,1.73,-0.36,-0.08,-0.92,-0.11,0.09,-0.10
-1.24,-1.54,1.82,-0.36,-0.08,-0.92,-0.11,0.08,-0.10
-1.30,-1.61,1.90,-0.36,-0.08,-0.92,-0.11,0.08,-0.10
-1.35,-1.68,1.99,-0.36,-0.08,-0.92,-0.10,0.09,-0.10
-1.41,-1.76,2.08,-0.36,-0.08,-0.92,-0.10,0.09,-0.09
-1.47,-1.83,2.16,-0.36,-0.08,-0.92,-0.11,0.09,-0.09
-1.52,-1.90,2.25,-0.36,-0.08,-0.92,-0.11,0.09,-0.10
-1.58,-1.98,2.34,-0.36,-0.08,-0.92,-0.11,0.09,-0.09
-1.64,-2.05,2.42,-0.36,-0.08,-0.92,-0.11,0.08,-0.09
-1.69,-2.12,2.51,-0.36,-0.08,-0.92,-0.10,0.08,-0.09
